operacion,perfil,fecha actualizacion,valores,textos
Configuracion modificada,asaa,2023-06-14 16:01:57,,
Configuracion modificada,asaa,2023-06-14 16:02:08,,
nuevo_meme,asaa,2023-06-14 16:02:22,drake1.jpg,hola;hola
nuevo_meme,asaa,2023-06-14 16:03:13,drake2.jpg,xd 1;xd 2
nuevo_meme,asaa,2023-06-14 16:03:32,winnie pooh1.png,a;b;c;d
Nueva imagen clasificada,asaa,2023-06-14 16:05:19,,
nuevo_meme,astro,2023-06-14 22:34:16,drake11.jpg, dajsk dja�skl djas dajlk�s jklad�sd jlkasdl asjld kasjlkd �;d asd asd as dasd asd a
Configuracion modificada,astro,2023-06-14 22:34:59,,
nuevo_collage,astro,2023-06-14 22:35:21,conejito.jpg;gatito.jpg,caosnc as
modificar_perfil,astro,2023-06-17 16:05:00,,
Configuracion modificada,astro,2023-06-17 16:05:18,,
Imagen modificada,perro,2023-06-17 16:08:49,,
nuevo perfil,prue,2023-06-17 16:08:55,,
Configuracion modificada,astro,2023-06-18 18:06:58,,
Configuracion modificada,astro,2023-06-18 18:07:33,,
Configuracion modificada,astro,2023-06-18 18:12:24,,
Configuracion modificada,astro,2023-06-18 18:12:44,,
Configuracion modificada,astro,2023-06-18 18:15:19,,
Configuracion modificada,astro,2023-06-18 18:15:29,,
Configuracion modificada,astro,2023-06-18 18:20:59,,
Configuracion modificada,astro,2023-06-18 18:29:34,,
Configuracion modificada,astro,2023-06-18 18:29:38,,
Nueva imagen clasificada,astro,2023-06-18 18:31:51,,
Configuracion modificada,astro,2023-06-18 18:34:39,,
Configuracion modificada,astro,2023-06-18 18:34:51,,
Configuracion modificada,astro,2023-06-18 18:34:56,,
nuevo_collage,astro,2023-06-18 18:38:06,conejito.jpg;gatito.jpg,conejo y gato
nuevo_collage,astro,2023-06-18 18:38:41,perro.jpg;gatito2.jpg,perro y gato
nuevo_collage,astro,2023-06-18 18:40:16,2023-03-18_01.00.18.png;sea_of_thieves.png;valorant.png;rogue-one-death-star.jpg,juegos
nuevo_meme,astro,2023-06-18 18:40:35,drake1.jpg,No;Si
nuevo_meme,astro,2023-06-18 18:41:07,sponge_bob1.jpg,Eh;Jaja dasd asd asd asd asd asd asd
nuevo_meme,astro,2023-06-18 18:41:41,heart_meme1.jpg,Cora;zpm sda dasd asd asdads ;d aklsd jasjd lkaskjld ajkld akljsdasd 
Nueva imagen clasificada,astro,2023-06-18 18:42:48,,
Nueva imagen clasificada,astro,2023-06-18 18:43:27,,
modificar_perfil,Holasoynuebo,2023-06-18 18:46:59,,
nuevo perfil,jeje,2023-06-18 18:47:23,,
nuevo perfil,Holasoynuebo,2023-06-18 18:47:24,,
nuevo perfil,Jjijiji,2023-06-18 18:47:47,,
modificar_perfil,jeje,2023-06-18 18:48:30,,
modificar_perfil,Placeholder123214,2023-06-18 18:49:02,,
Configuracion modificada,ola,2023-06-18 20:31:11,,
Configuracion modificada,ola,2023-06-18 20:31:27,,
nuevo_collage,asaa,2023-06-22 09:33:20,2023-03-18_01.00.18.png;conejito.jpg,Conejo
